Confirmed,Weak,Rejected
TRUNC-A,O1PSg,O
,,O1P
,,O1PSgSUB
,,O1PSgPOSS
,,O1PSgPOSSPREP
,,O3P
,,O3PSg
,,O3PSg+R
,,O3PSg+R+I
,,O3PSg+R+I-A
,,O3PSg+R+I-AOBJ
,,O3PSg+R+I-AOBJMS
,,O3PSg+R+I-AOBJES
,,O3PSg+R-A
,,O3PSg+R-AOBJ
,,O3PSg+R-AOBJES
,,O3PSg-R
,,O3PSg-R-A
,,O3PSg-R-AExp
,,O3PSg-R-AExpSUB
,,O3PSg-R-AExpSUBMS
,,MS
,,MSTRUNC
,,MSTRUNC-A
,,TRUNC
,,CS
,,ES
,,O1PSgPREP
,,O3PSg+R-ASUB
,,O3PSg+R-ASUBES
,,O3PSg+R-ASUBMS
,,N
,,N3P
,,N3PSg
,,N3PSg+R
,,N3PSg+R-A
,,N3PSg+R-ASUB
,,N3PSg+R-ASUBMS
,,N3PSg+R-ASUBES
,,O3PSg+R-AOBJMS
,,O1PSgOBJ
,,O3PPl
,,O3PPl+R
,,O3PPl+R+A
,,O3PPl+R+APREP
,,O3PPl+R+APREPMS
,,O3PSg+R+I-ASUB
,,O3PSg+R+I-ASUBMS
,,O3PPl+R+ASUB
,,O3PPl+R+ASUBMS
,,O3PSg+R-APREP
,,O3PSg+R-APREPES
,,O3PSg-R-AExpSUBES
,,O3PSg-R-AExpOBJ
,,O3PSg-R-AExpOBJMS
,,O3PSg+R-APOSS
,,O3PSg+R-APOSSPREP
,,O3PSg+R-APOSSPREPMS
,,O1PPl
,,O1PPlSUB
,,ESTRUNC
,,ESTRUNC+A
,,TRUNC+A
,,MSTRUNC+A
,,ESTRUNC-A
,,O3PPl+R+AOBJ
,,O3PPl+R+AOBJES
,,N1P
,,N1PSg
,,N1PSgSUB
,,O3PSg+R+I-ASUBES
,,O3PSg+R+I+A
,,O3PSg+R+I+AOBJ
,,O3PSg+R+I+AOBJMS
,,O3PSg+R+I+ASUB
,,O3PSg+R+I+ASUBES
,,O2P
,,O2PSg
,,O2PSgGen
,,O2PSgGenSUB
,,O2PSg-R
,,O2PSg-R-A
,,O2PSg-R-AGen
,,O2PSg-R-AGenSUB
,,O2PSg-R-AGenSUBES
,,O3PPl+R-A
,,O3PPl+R-APOSS
,,O3PPl+R+APOSS
,,O3PPl+R+APOSSMS
,,O3PSg+R+I-APREP
,,O3PSg+R+I-APREPMS
,,O2PSgSUB
,,O2PSgPREP
,,O3PSg+R-APOSSMS
,,O3PPl+R-APOSSPREP
,,O3PPl+R-APOSSPREPMS
,,O3PPl+R-APREP
,,O3PPl+R-APREPMS
,,O3PPl+R-ASUB
,,O3PPl+R-ASUBMS
,,O3PPl+R-APREPES
,,O2PSg-R-AGenSUBMS
,,O1PPl-R
,,O1PPl-R-A
,,O1PPl-R-AGen
,,O1PPl-R-AGenSUB
,,O1PPl-R-AGenSUBES
,,O3PPl-R
,,O3PPl-R-A
,,O3PPl-R-AExp
,,O3PPl-R-AExpSUB
,,O3PPl-R-AExpSUBMS
,,O3PSg+R+I-APREPES
,,O3PSg+R+I+ASUBMS
,,O3PPl+R-ASUBES
,,O3PPl+R+ASUBES
,,O3PSgExp
,,O3PPl+R-AOBJ
,,O3PPl+R-AOBJMS
,,O3PPl+R-AOBJES
,,N1PSgSUBMS
,,O3PPl+R-APOSSPREPES
,,O2PPl
,,O2PPlPREP
,,O3PSg+R+I+AOBJES
,,O1PPlPREP
,,O3PPl+R-APOSSMS
,,O2PPlSUB
,,O3PSg+R+A
,,O3PSg+R+ASUB
,,O3PSg+R+ASUBES
,,O3PSg+R+AOBJ
,,O3PSg+R+AOBJMS
,,O3PSg+R+AOBJES
,,O3PSg+R+ASUBMS
,,O3PSg+R-APREPMS
,,O3PSg+R-APOSSPREPES
,,O2PPlOBJ
,,O1PPlPOSS
,,O1PPlPOSSPREP
,,O2PSgPOSS
,,O2PSgPOSSPREP
,,O3PSg+R-APOSSES
,,O1PPlOBJ
,,O2PSgOBJ
,,N3PPl
,,N3PPl+R
,,N3PPl+R-A
,,N3PPl+R-ASUB
,,N3PPl+R-ASUBMS
,,O3PSg-R-AExpOBJES
,,N1PPl
,,N1PPlSUB
,,O3PSg+R+I-APOSS
,,O3PSg+R+I-APOSSES
,,N3PSg+R+A
,,N3PSg+R+ASUB
,,N3PSg+R+ASUBMS
,,O3PSg-R+A
,,O3PSg-R+ASUB
,,O3PSg-R+ASUBES
,,O2PSgGenOBJ
,,O3PSg-R-AExpPREP
,,O3PSg-R-AExpPREPES
,,O3PSg-R-AOBJ
,,O3PSg-R-AOBJMS
,,N2P
,,N2PSg
,,N2PSgSUB
,,N3PSg+R+I
,,N3PSg+R+I+A
,,N3PSg+R+I+ASUB
,,N3PSg+R+I+ASUBMS
,,N3PSg-R
,,N3PSg-R-A
,,N3PSg-R-AExp
,,N3PSg-R-AExpSUB
,,N3PSg-R-AExpSUBMS
,,O2PSgGenPOSS
,,N3PSg+R+ASUBES
,,N3PSg-R-AExpSUBES
,,O3PPl+R+APOSSES
,,O3PPl+R+APOSSPREP
,,O3PPl+R+APOSSPREPES
,,O3PSg+R+I+APREP
,,O3PSg+R+I+APREPMS
,,O3PPl-R-AExpSUBES
,,O3PSg+R+APOSS
,,O3PSg+R+APOSSES
,,O3PSg-R+AExp
,,O3PSg-R+AExpSUB
,,O3PSg-R+AExpSUBMS
,,O3PPl+R-APOSSES
,,N3PPl+R-ASUBES
,,CSTRUNC
,,CSTRUNC+A
,,O2PSgGenPREP
,,O2PSgGenPOSSPREP
,,O1PPl-R-AGenSUBMS
,,N2PSgGen
,,N2PSgGenSUB
